Created At,type,User Name,NumFollowers,NumRetweets,NumFavorites,NumReplies,statusID,link
2019-04-15 13:02:02 CDT-0500,healthcare,CVSHealth,44357,0,3,0,1117775086981984256,https://twitter.com/CVSHealth/status/1117775086981984256
2019-04-12 15:35:06 CDT-0500,healthcare,CVSHealth,44357,3,4,0,1116726441754923008,https://twitter.com/CVSHealth/status/1116726441754923008
2019-04-12 13:02:21 CDT-0500,healthcare,CVSHealth,44357,7,12,0,1116688003261501440,https://twitter.com/CVSHealth/status/1116688003261501440
2019-04-11 17:15:12 CDT-0500,healthcare,CVSHealth,44357,3,4,2,1116389244640079873,https://twitter.com/CVSHealth/status/1116389244640079873
2019-04-11 13:36:45 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1116334271399104512,https://twitter.com/CVSHealth/status/1116334271399104512
2019-04-11 13:02:04 CDT-0500,healthcare,CVSHealth,44357,3,13,4,1116325544067522560,https://twitter.com/CVSHealth/status/1116325544067522560
2019-04-11 11:29:26 CDT-0500,healthcare,CVSHealth,44357,1,2,0,1116302233124077568,https://twitter.com/CVSHealth/status/1116302233124077568
2019-04-10 18:35:03 CDT-0500,healthcare,CVSHealth,44357,3,11,2,1116046954339946497,https://twitter.com/CVSHealth/status/1116046954339946497
2019-04-10 17:15:08 CDT-0500,healthcare,CVSHealth,44357,2,6,1,1116026843122028546,https://twitter.com/CVSHealth/status/1116026843122028546
2019-04-10 15:08:08 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1115994880440926208,https://twitter.com/CVSHealth/status/1115994880440926208
2019-04-10 12:55:08 CDT-0500,healthcare,CVSHealth,44357,1,1,0,1115961409182023681,https://twitter.com/CVSHealth/status/1115961409182023681
2019-04-09 19:01:27 CDT-0500,healthcare,CVSHealth,44357,1,4,0,1115691209345908737,https://twitter.com/CVSHealth/status/1115691209345908737
2019-04-09 15:35:04 CDT-0500,healthcare,CVSHealth,44357,2,3,0,1115639272881651718,https://twitter.com/CVSHealth/status/1115639272881651718
2019-04-09 13:02:07 CDT-0500,healthcare,CVSHealth,44357,6,15,0,1115600780013133824,https://twitter.com/CVSHealth/status/1115600780013133824
2019-04-08 19:54:02 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1115342053280493570,https://twitter.com/CVSHealth/status/1115342053280493570
2019-04-08 17:33:16 CDT-0500,healthcare,CVSHealth,44357,1,12,0,1115306627400384514,https://twitter.com/CVSHealth/status/1115306627400384514
2019-04-08 15:38:55 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1115277853535408128,https://twitter.com/CVSHealth/status/1115277853535408128
2019-04-08 14:47:28 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1115264905626685440,https://twitter.com/CVSHealth/status/1115264905626685440
2019-04-08 14:45:08 CDT-0500,healthcare,CVSHealth,44357,0,9,0,1115264319170732032,https://twitter.com/CVSHealth/status/1115264319170732032
2019-04-08 13:02:23 CDT-0500,healthcare,CVSHealth,44357,8,10,1,1115238459504041984,https://twitter.com/CVSHealth/status/1115238459504041984
2019-04-07 13:15:05 CDT-0500,healthcare,CVSHealth,44357,0,12,0,1114879269216374787,https://twitter.com/CVSHealth/status/1114879269216374787
2019-04-05 17:47:10 CDT-0500,healthcare,CVSHealth,44357,2,4,0,1114222962327064576,https://twitter.com/CVSHealth/status/1114222962327064576
2019-04-05 15:25:06 CDT-0500,healthcare,CVSHealth,44357,0,1,0,1114187209970786304,https://twitter.com/CVSHealth/status/1114187209970786304
2019-04-05 13:02:08 CDT-0500,healthcare,CVSHealth,44357,1,10,0,1114151232602558465,https://twitter.com/CVSHealth/status/1114151232602558465
2019-04-04 17:10:20 CDT-0500,healthcare,CVSHealth,44357,8,10,2,1113851306433830912,https://twitter.com/CVSHealth/status/1113851306433830912
2019-04-04 15:25:07 CDT-0500,healthcare,CVSHealth,44357,3,5,1,1113824828497305600,https://twitter.com/CVSHealth/status/1113824828497305600
2019-04-04 13:22:04 CDT-0500,healthcare,CVSHealth,44357,18,26,4,1113793860419948544,https://twitter.com/CVSHealth/status/1113793860419948544
2019-04-03 17:15:10 CDT-0500,healthcare,CVSHealth,44357,2,8,0,1113490136862425089,https://twitter.com/CVSHealth/status/1113490136862425089
2019-04-03 15:35:06 CDT-0500,healthcare,CVSHealth,44357,2,0,1,1113464953309224960,https://twitter.com/CVSHealth/status/1113464953309224960
2019-04-03 13:02:41 CDT-0500,healthcare,CVSHealth,44357,3,3,0,1113426595459543040,https://twitter.com/CVSHealth/status/1113426595459543040
2019-04-02 19:15:07 CDT-0500,healthcare,CVSHealth,44357,1,5,7,1113157935486701570,https://twitter.com/CVSHealth/status/1113157935486701570
2019-04-02 17:20:06 CDT-0500,healthcare,CVSHealth,44357,6,15,0,1113128988367613952,https://twitter.com/CVSHealth/status/1113128988367613952
2019-04-02 15:48:23 CDT-0500,healthcare,CVSHealth,44357,3,4,0,1113105909075664898,https://twitter.com/CVSHealth/status/1113105909075664898
2019-04-02 13:02:11 CDT-0500,healthcare,CVSHealth,44357,2,6,2,1113064081517395968,https://twitter.com/CVSHealth/status/1113064081517395968
2019-04-01 20:27:42 CDT-0500,healthcare,CVSHealth,44357,2,1,0,1112813809901727747,https://twitter.com/CVSHealth/status/1112813809901727747
2019-04-01 18:55:06 CDT-0500,healthcare,CVSHealth,44357,3,5,0,1112790508743651328,https://twitter.com/CVSHealth/status/1112790508743651328
2019-04-01 15:35:06 CDT-0500,healthcare,CVSHealth,44357,4,14,2,1112740174709116929,https://twitter.com/CVSHealth/status/1112740174709116929
2019-04-01 13:01:58 CDT-0500,healthcare,CVSHealth,44357,2,7,1,1112701639331319808,https://twitter.com/CVSHealth/status/1112701639331319808
2019-03-29 19:24:03 CDT-0500,healthcare,CVSHealth,44357,12,38,0,1111710628509609985,https://twitter.com/CVSHealth/status/1111710628509609985
2019-03-29 17:02:07 CDT-0500,healthcare,CVSHealth,44357,2,3,1,1111674910454222856,https://twitter.com/CVSHealth/status/1111674910454222856
2019-03-29 15:20:06 CDT-0500,healthcare,CVSHealth,44357,1,6,0,1111649239346626560,https://twitter.com/CVSHealth/status/1111649239346626560
2019-03-29 13:02:05 CDT-0500,healthcare,CVSHealth,44357,2,5,0,1111614503542767616,https://twitter.com/CVSHealth/status/1111614503542767616
